epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9346,1.73199,9.09034,1.49211,0.93397,0.1002,0.20045,0.11352,2.09688,8.81844,1.46465,0.000410256,0.000410256,0.000410256
2,60.9597,1.60349,5.48287,1.44033,0.29444,0.29415,0.23597,0.12659,2.20343,7.42532,1.50649,0.000820101,0.000820101,0.000820101
3,90.3928,1.53053,4.91732,1.39119,0.3929,0.24359,0.26022,0.14659,2.2911,7.92846,1.67837,0.00122307,0.00122307,0.00122307
4,118.356,1.49128,4.72637,1.34966,0.29466,0.26984,0.19235,0.10504,2.24436,8.27006,1.62472,0.00121906,0.00121906,0.00121906
5,146.444,1.43048,4.45251,1.33526,0.49813,0.30937,0.26366,0.14404,2.10613,7.9359,1.52892,0.00120875,0.00120875,0.00120875
6,174.785,1.42239,4.39561,1.32216,0.34584,0.32848,0.29654,0.18051,1.97491,6.43514,1.38315,0.00119844,0.00119844,0.00119844
7,203.133,1.40934,4.32397,1.31358,0.68797,0.30952,0.34039,0.21225,1.91544,5.38408,1.38974,0.00118812,0.00118812,0.00118812
8,231.327,1.34151,4.18884,1.2926,0.57045,0.23582,0.20065,0.12538,2.07475,8.64282,1.47974,0.00117781,0.00117781,0.00117781
9,259.409,1.35257,4.09127,1.28013,0.29683,0.23305,0.19506,0.10314,2.28274,7.91888,1.49275,0.0011675,0.0011675,0.0011675
10,288.15,1.33359,4.02951,1.27743,0.6472,0.28396,0.31134,0.18546,2.0392,5.7894,1.41725,0.00115719,0.00115719,0.00115719
11,316.307,1.32139,4.05234,1.2689,0.39603,0.28727,0.31005,0.18941,1.92752,6.72999,1.34404,0.00114688,0.00114688,0.00114688
12,344.98,1.30961,3.96731,1.26621,0.4344,0.29237,0.30554,0.18845,1.9753,5.61426,1.34199,0.00113656,0.00113656,0.00113656
13,373.156,1.28968,3.91954,1.25574,0.45331,0.28765,0.31381,0.1906,1.91051,6.01055,1.30931,0.00112625,0.00112625,0.00112625
14,401.694,1.28402,3.83321,1.25325,0.53559,0.28736,0.33138,0.21216,1.84894,5.54976,1.26319,0.00111594,0.00111594,0.00111594
15,430.281,1.27482,3.78138,1.24793,0.41768,0.32032,0.32359,0.19289,1.9311,5.99716,1.30533,0.00110563,0.00110563,0.00110563
16,458.839,1.27683,3.74203,1.24856,0.55113,0.32701,0.37054,0.23544,1.79765,5.38934,1.27976,0.00109531,0.00109531,0.00109531
17,487.338,1.25867,3.78816,1.23138,0.47686,0.31855,0.36267,0.23033,1.8173,4.97609,1.28563,0.001085,0.001085,0.001085
18,515.583,1.24045,3.69405,1.2298,0.48041,0.31118,0.35282,0.22045,1.81122,5.28122,1.24502,0.00107469,0.00107469,0.00107469
19,544.058,1.25703,3.78871,1.24332,0.39565,0.32357,0.32232,0.2113,1.72769,5.61501,1.25373,0.00106437,0.00106437,0.00106437
20,572.591,1.23885,3.64909,1.23114,0.52512,0.36978,0.38164,0.24514,1.725,4.83686,1.22554,0.00105406,0.00105406,0.00105406
21,601.283,1.20948,3.55638,1.21973,0.39385,0.33442,0.33317,0.21551,1.76841,5.41227,1.26523,0.00104375,0.00104375,0.00104375
22,629.858,1.21465,3.59491,1.22535,0.50382,0.33461,0.3665,0.2232,1.85567,5.26292,1.2764,0.00103344,0.00103344,0.00103344
23,658.355,1.22937,3.57377,1.23328,0.53654,0.3767,0.40601,0.26185,1.68585,4.767,1.21755,0.00102312,0.00102312,0.00102312
24,687.187,1.22741,3.58898,1.22316,0.49242,0.37222,0.38683,0.24261,1.67668,4.99167,1.20642,0.00101281,0.00101281,0.00101281
25,715.893,1.20229,3.51399,1.2172,0.48536,0.40524,0.41042,0.25942,1.70692,4.54253,1.23596,0.0010025,0.0010025,0.0010025
26,744.249,1.2178,3.54821,1.22439,0.40753,0.31406,0.31609,0.20474,1.78162,6.1619,1.24559,0.000992188,0.000992188,0.000992188
27,773.269,1.199,3.51436,1.22169,0.51483,0.40082,0.43242,0.27764,1.65425,4.37249,1.20892,0.000981875,0.000981875,0.000981875
28,801.978,1.20357,3.54647,1.21883,0.5093,0.37632,0.38978,0.24694,1.68481,4.75559,1.18945,0.000971562,0.000971562,0.000971562
29,830.545,1.17934,3.44032,1.21144,0.51485,0.3618,0.39454,0.25305,1.67663,4.79488,1.21796,0.00096125,0.00096125,0.00096125
30,859.475,1.17723,3.46342,1.21466,0.4289,0.3514,0.3305,0.21356,1.80353,5.32383,1.26922,0.000950937,0.000950937,0.000950937
31,888.121,1.17181,3.38388,1.2073,0.5338,0.40304,0.43201,0.26067,1.70927,4.5638,1.23675,0.000940625,0.000940625,0.000940625
32,916.411,1.18627,3.42561,1.21273,0.4732,0.42718,0.43797,0.27641,1.67521,4.75153,1.20753,0.000930313,0.000930313,0.000930313
33,945.071,1.1611,3.39239,1.20559,0.51594,0.3886,0.42917,0.26759,1.68457,4.73758,1.21411,0.00092,0.00092,0.00092
34,973.798,1.16431,3.36947,1.20201,0.53607,0.37259,0.42607,0.26995,1.66658,4.53825,1.19536,0.000909688,0.000909688,0.000909688
35,1002.51,1.17647,3.40014,1.20973,0.47018,0.40682,0.41082,0.26144,1.68648,4.633,1.21366,0.000899375,0.000899375,0.000899375
36,1031.63,1.1578,3.37114,1.19535,0.50432,0.42225,0.42916,0.2793,1.66053,4.33339,1.20545,0.000889062,0.000889062,0.000889062
37,1060.34,1.15987,3.33355,1.2012,0.52285,0.40882,0.42633,0.26684,1.76469,4.71152,1.23914,0.00087875,0.00087875,0.00087875
38,1089.64,1.12607,3.28226,1.18997,0.52659,0.38085,0.40867,0.25817,1.74756,4.68624,1.24098,0.000868437,0.000868437,0.000868437
39,1118.64,1.16336,3.34404,1.20754,0.47992,0.40671,0.42937,0.27581,1.69536,4.55363,1.22269,0.000858125,0.000858125,0.000858125
40,1147.4,1.15457,3.32095,1.20085,0.36333,0.37792,0.33142,0.20181,1.7517,5.79794,1.25423,0.000847813,0.000847813,0.000847813
41,1176.49,1.1454,3.32521,1.19957,0.54271,0.43823,0.46516,0.29155,1.65467,4.2199,1.20568,0.0008375,0.0008375,0.0008375
42,1205.49,1.11606,3.19489,1.18548,0.53306,0.36895,0.40771,0.26066,1.68878,4.71658,1.21095,0.000827187,0.000827187,0.000827187
43,1233.93,1.11751,3.23345,1.18666,0.53348,0.3667,0.39838,0.24634,1.80133,5.20743,1.2602,0.000816875,0.000816875,0.000816875
