epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3859,1.96741,8.57227,2.17214,0.4821,0.19277,0.18779,0.1007,2.1352,7.02918,2.06213,0.000410256,0.000410256,0.000410256
2,58.6308,1.88937,5.88395,2.09585,0.66236,0.19997,0.23162,0.13917,2.27601,6.96517,2.16305,0.000820101,0.000820101,0.000820101
3,87.155,1.84316,5.38751,2.04204,0.34234,0.21979,0.2276,0.12705,2.21702,7.23409,2.02286,0.00122307,0.00122307,0.00122307
4,115.455,1.79124,5.236,2.01363,0.41901,0.22952,0.23358,0.12775,2.24905,7.87744,2.18998,0.00121906,0.00121906,0.00121906
5,144.184,1.75221,5.1423,1.98401,0.56827,0.23914,0.2359,0.12142,2.27721,8.06383,2.15111,0.00120875,0.00120875,0.00120875
6,173.678,1.70185,4.90705,1.9463,0.28907,0.30338,0.2758,0.15854,2.1826,6.34431,2.04107,0.00119844,0.00119844,0.00119844
7,203.688,1.69219,4.87551,1.94,0.39682,0.30587,0.31771,0.19275,2.05781,5.61578,1.8867,0.00118812,0.00118812,0.00118812
8,232.432,1.63874,4.69895,1.8966,0.55805,0.26054,0.24196,0.14254,2.1742,6.58478,1.96617,0.00117781,0.00117781,0.00117781
9,260.832,1.62189,4.60006,1.89037,0.3986,0.28554,0.31159,0.18823,2.06297,6.19463,1.93426,0.0011675,0.0011675,0.0011675
10,289.686,1.6348,4.5941,1.89244,0.35195,0.26423,0.25852,0.16087,1.99263,6.23852,1.86935,0.00115719,0.00115719,0.00115719
11,318.832,1.59009,4.54157,1.8661,0.38534,0.28676,0.27712,0.16388,2.16021,6.45613,2.05704,0.00114688,0.00114688,0.00114688
12,347.233,1.58663,4.49575,1.86507,0.25279,0.29064,0.22142,0.11135,2.27116,10.8854,2.09222,0.00113656,0.00113656,0.00113656
13,375.749,1.57066,4.45257,1.84725,0.37544,0.18901,0.19479,0.11993,1.99819,8.44956,1.85554,0.00112625,0.00112625,0.00112625
14,404.111,1.5633,4.40633,1.83696,0.29041,0.3397,0.27938,0.16103,2.11273,7.19022,1.94963,0.00111594,0.00111594,0.00111594
15,433.016,1.56006,4.39018,1.84749,0.45,0.32708,0.34229,0.21733,1.95768,5.33458,1.83141,0.00110563,0.00110563,0.00110563
16,461.762,1.56346,4.35629,1.84002,0.3105,0.2494,0.20603,0.10497,2.44097,9.15095,2.17611,0.00109531,0.00109531,0.00109531
17,490.752,1.5272,4.3427,1.83964,0.48534,0.3052,0.34908,0.21198,2.07324,5.26722,1.9659,0.001085,0.001085,0.001085
18,520.107,1.52655,4.29257,1.82447,0.48139,0.31525,0.34077,0.20511,2.03729,5.26392,1.94248,0.00107469,0.00107469,0.00107469
19,548.962,1.51678,4.23863,1.81884,0.44958,0.33749,0.35202,0.22096,1.85955,5.15378,1.74613,0.00106437,0.00106437,0.00106437
20,577.747,1.48063,4.17118,1.79419,0.38184,0.36613,0.34273,0.21526,1.87763,5.26649,1.78861,0.00105406,0.00105406,0.00105406
21,606.603,1.50592,4.1885,1.8162,0.40167,0.33829,0.32405,0.18196,2.01962,5.96053,1.86873,0.00104375,0.00104375,0.00104375
22,635.299,1.48715,4.12879,1.78887,0.40172,0.3692,0.33628,0.21148,1.88946,5.69002,1.74845,0.00103344,0.00103344,0.00103344
23,664.391,1.49425,4.12944,1.79645,0.34613,0.36379,0.29706,0.18926,1.88697,5.7277,1.8202,0.00102312,0.00102312,0.00102312
24,693.431,1.47361,4.10919,1.78736,0.46189,0.31313,0.34712,0.21502,1.86766,5.5927,1.75491,0.00101281,0.00101281,0.00101281
25,722.101,1.46723,4.13293,1.78265,0.42665,0.3484,0.33915,0.20357,1.87727,6.2263,1.74279,0.0010025,0.0010025,0.0010025
26,750.928,1.46343,4.06759,1.77378,0.47033,0.34515,0.33831,0.20944,1.92226,5.50728,1.7968,0.000992188,0.000992188,0.000992188
27,779.766,1.45441,4.07818,1.78085,0.41886,0.33667,0.36149,0.20656,1.9085,5.59859,1.77541,0.000981875,0.000981875,0.000981875
28,809.7,1.44612,3.99947,1.77731,0.47999,0.31985,0.34447,0.20565,1.92821,5.78487,1.79549,0.000971562,0.000971562,0.000971562
29,839.075,1.46074,4.02782,1.78656,0.41313,0.37021,0.35359,0.2286,1.85015,4.99383,1.76402,0.00096125,0.00096125,0.00096125
30,867.834,1.44536,3.9778,1.76762,0.49399,0.28116,0.32168,0.19929,1.98355,6.39055,1.83419,0.000950937,0.000950937,0.000950937
31,896.635,1.44043,3.94445,1.76721,0.38946,0.33871,0.33629,0.20954,1.87596,5.51192,1.76656,0.000940625,0.000940625,0.000940625
32,925.647,1.45943,3.94803,1.76873,0.47173,0.37779,0.37743,0.23868,1.8891,4.90395,1.75839,0.000930313,0.000930313,0.000930313
33,954.398,1.42153,3.92344,1.76191,0.42933,0.38626,0.37285,0.23214,1.84408,5.15487,1.75836,0.00092,0.00092,0.00092
34,983.526,1.44357,3.94967,1.77205,0.51891,0.37782,0.38584,0.25207,1.76595,4.88297,1.70496,0.000909688,0.000909688,0.000909688
35,1012.9,1.41051,3.91725,1.75636,0.41876,0.38615,0.3919,0.25343,1.89594,4.74688,1.80236,0.000899375,0.000899375,0.000899375
36,1042.48,1.42412,3.87547,1.76013,0.43642,0.35998,0.36512,0.23182,1.79058,4.8562,1.715,0.000889062,0.000889062,0.000889062
37,1071.12,1.40411,3.78955,1.73953,0.49377,0.33239,0.37414,0.23523,1.8518,5.31418,1.73614,0.00087875,0.00087875,0.00087875
38,1100.22,1.42096,3.8462,1.74629,0.41867,0.36756,0.36235,0.22422,1.81812,4.92784,1.72985,0.000868437,0.000868437,0.000868437
39,1129.29,1.41364,3.84653,1.7594,0.45769,0.3792,0.37957,0.23931,1.80698,4.88031,1.69135,0.000858125,0.000858125,0.000858125
40,1158.12,1.4038,3.80361,1.74478,0.45682,0.36386,0.3846,0.24649,1.83469,5.24516,1.71616,0.000847813,0.000847813,0.000847813
41,1186.88,1.40651,3.80706,1.74228,0.4826,0.37733,0.38788,0.25137,1.83743,4.88706,1.74445,0.0008375,0.0008375,0.0008375
42,1215.93,1.39724,3.80024,1.73461,0.4134,0.3536,0.32893,0.20745,1.85494,5.71111,1.76684,0.000827187,0.000827187,0.000827187
43,1245.27,1.39261,3.81848,1.75009,0.56334,0.37004,0.41048,0.25774,1.77298,4.71051,1.71573,0.000816875,0.000816875,0.000816875
44,1274.58,1.41082,3.79365,1.73982,0.60024,0.37689,0.43256,0.27607,1.76446,4.29697,1.68848,0.000806562,0.000806562,0.000806562
45,1304.17,1.38043,3.78881,1.73372,0.49037,0.36137,0.39794,0.25469,1.78422,4.74221,1.70658,0.00079625,0.00079625,0.00079625
46,1333.37,1.39961,3.7442,1.73016,0.5675,0.35164,0.39197,0.25133,1.80934,5.14529,1.72611,0.000785938,0.000785938,0.000785938
47,1362.87,1.36719,3.67696,1.72704,0.46311,0.3773,0.39614,0.24555,1.91433,5.0106,1.78418,0.000775625,0.000775625,0.000775625
48,1392.7,1.38645,3.70861,1.72091,0.61088,0.33198,0.41744,0.26847,1.77276,4.57063,1.67949,0.000765313,0.000765313,0.000765313
49,1422.01,1.37467,3.69929,1.72249,0.57003,0.38687,0.42527,0.27253,1.70219,4.45297,1.65312,0.000755,0.000755,0.000755
50,1451,1.3671,3.65588,1.71977,0.47527,0.3626,0.38541,0.24396,1.85448,5.11333,1.75323,0.000744688,0.000744688,0.000744688
51,1480.04,1.36476,3.68735,1.72574,0.48692,0.40128,0.40815,0.25408,1.75724,4.83406,1.70277,0.000734375,0.000734375,0.000734375
52,1509.27,1.34996,3.64399,1.71937,0.63511,0.36007,0.43059,0.27953,1.72769,4.43026,1.67138,0.000724062,0.000724062,0.000724062
53,1538.25,1.34349,3.5995,1.70509,0.56882,0.35959,0.42182,0.27373,1.76634,4.59532,1.67373,0.00071375,0.00071375,0.00071375
54,1567.33,1.34052,3.61413,1.71463,0.40197,0.36693,0.35481,0.21248,1.91444,5.55574,1.79639,0.000703437,0.000703437,0.000703437
55,1596.27,1.33536,3.59034,1.70581,0.50568,0.38615,0.41779,0.27753,1.72335,4.54901,1.64621,0.000693125,0.000693125,0.000693125
56,1625.72,1.37147,3.72309,1.72709,0.57369,0.34693,0.3975,0.2572,1.84873,4.97016,1.7274,0.000682813,0.000682813,0.000682813
57,1655.22,1.3325,3.60819,1.70116,0.47188,0.39608,0.41635,0.26363,1.80563,4.64082,1.72966,0.0006725,0.0006725,0.0006725
58,1684.65,1.32383,3.50684,1.6981,0.57534,0.40318,0.41672,0.26349,1.72752,4.59204,1.65953,0.000662188,0.000662188,0.000662188
59,1714.4,1.35742,3.64249,1.71213,0.48229,0.40076,0.42129,0.2754,1.78073,4.37165,1.69268,0.000651875,0.000651875,0.000651875
60,1744.39,1.31693,3.50384,1.69044,0.56664,0.39287,0.4141,0.26861,1.75636,4.62998,1.68344,0.000641562,0.000641562,0.000641562
61,1773.75,1.33679,3.5512,1.70484,0.56923,0.41119,0.43737,0.27885,1.75869,4.37696,1.66906,0.00063125,0.00063125,0.00063125
62,1803.09,1.33592,3.50027,1.70126,0.53364,0.41197,0.42054,0.27371,1.76567,4.48426,1.67906,0.000620938,0.000620938,0.000620938
63,1832.46,1.31217,3.52609,1.70003,0.47094,0.41553,0.41235,0.26366,1.79195,4.61415,1.68292,0.000610625,0.000610625,0.000610625
64,1862.04,1.33697,3.57689,1.69517,0.52228,0.39526,0.42193,0.28116,1.64904,4.41105,1.61311,0.000600313,0.000600313,0.000600313
65,1891.25,1.32793,3.52397,1.69768,0.51637,0.40937,0.42863,0.27168,1.75599,4.55322,1.67729,0.00059,0.00059,0.00059
66,1920.65,1.33352,3.55572,1.70171,0.57721,0.3846,0.44186,0.28139,1.71451,4.45445,1.64823,0.000579688,0.000579688,0.000579688
67,1949.94,1.30696,3.50362,1.69114,0.57606,0.40673,0.44559,0.29478,1.63113,4.10166,1.6049,0.000569375,0.000569375,0.000569375
68,1978.98,1.32396,3.48019,1.69265,0.5673,0.35964,0.42606,0.27809,1.72478,4.69951,1.64038,0.000559062,0.000559062,0.000559062
69,2008.44,1.34587,3.56224,1.70227,0.53577,0.44644,0.46139,0.29815,1.70236,4.14502,1.64832,0.00054875,0.00054875,0.00054875
70,2037.81,1.32957,3.48854,1.69269,0.56469,0.40048,0.44091,0.29153,1.66516,4.22185,1.61225,0.000538438,0.000538438,0.000538438
71,2067.58,1.31767,3.4799,1.68328,0.50963,0.41804,0.43678,0.28094,1.75783,4.42908,1.66844,0.000528125,0.000528125,0.000528125
